Label,Authors,Year,Journal,DOI,N_sample_PD,Age_PD_Min,Age_PD_Max,Age_PD_Mean,Age_PD_SD,UPDRS_ON_Mean,UPDRS_ON_SD,UPDRS_ON_Median,UPDRS_ON_IQR,UPDRS_OFF_Mean,UPDRS_OFF_SD,UPDRS_OFF_Median,UPDRS_OFF_IQR,HnY_Mean,HnY_SD,HnY_Median,HnY_IQR,HnY_Min,HnY_Max,Med_Status_Scan,N_HC,Age_HC_mean,Age_HC_sd,Study_Design,Primary_Focus,Focus_Specification,Data_Source,Data_Source_Institution,Paradigm_Type,Task_Description,TR_ms,TE_ms,Number_Volumes,Length_Scan_Minutes,Voxel_Size,Field_Strength,Motion_Params,Regress_WM_CSF,Regress_CompCor,Regress_ICA_AROMA,Detrending,Despiking,Scrubbing,Exclusion_Mean_FD_mm,Exclusion_Max_FD_mm,Exclusion_Max_Translation_mm,Exclusion_Max_Rotation_deg,Exclusion_Outlier_Frames_percent,Exclusion_Other,GSR,Spatial_Smoothing,Filter_Type,Low_Cutoff_Hz,High_Cutoff_Hz,Filter_Step_2_Type,Low_Cutoff_2_Hz,High_Cutoff_2_Hz,Brain_Mapping,Number_Networks,Number_Areas,Network_Areas,Parcellation_Methods,dFC_Methods,Window_Size_Seconds,Window_Shift_Second,Clustering_Methods,Number_States,Number_States_Criteria,State_Features,Graph_Measures,Data_Availability,Code_Availability,Identified_States_Description,Integration_State_Findings,Segregation_State_Findings,State_Pattern_Conclusion,Transition_Findings,Transition_Pattern_Conclusion,Proposed_Biomarker_Summary_Cleaned,Limitations
X40645507,Pan Y; Qu H; Zhao Y; Qin Z; Liu J; Wang W,2025,Brain Research Bulletin,10.1016/j.brainresbull.2025.111460,37,Not reported,Not reported,65.6,8.1,23.7,10.5,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,2,1.25,Not reported,Not reported,ON state,30,62.2,8.1,Cross-sectional,Motor Subtype,Tremor-dominant,Private,Affiliated Hospital of Yangzhou University,Resting-state,Not applicable,2000,3.1,235,7.833333333,3.5x3.5x3.5,3,Not reported,No,No,No,No,No,No,Not reported,Not reported,Not reported,Not reported,Not reported,Compliance reported: <2mm translation; <2 deg rotation,Not reported,FWHM = 6,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,NETWORKS,8,23,Attention Network (ATT); Auditory Network (AUD); Cerebellum (CB); Central Executive Network (CEN); Default Mode Network (DMN); Salience Network (SAL); Sensorimotor Network (SMN); Visual Network (VIS),ICA,Sliding window,30,2,K-mean,4,Elbow,Dwell time; Fraction time; Number of transitions,Global efficiency; Local efficiency; Small-worldness,Upon request,Not reported ,State 3 (Integrated; HC only); State 1 (Segregated; most frequent); States 2 and 4 (Intermediate),The integrated state was only found in HCs; and spending less time in a more integrated state was related to better motor performance.,Dwell time in the segregated state is higher in PD than HCs; and spending more time in this state is related to worse motor performance.,Mixed/Contradictory Findings,A higher number of transitions is related to better performance.,More transitions associated with better outcomes,dFC state properties differ across PD motor subtypes (Tremor-dominant vs. Akinetic-rigid) and correlate with motor-deficit severity.,ON state only; Disease duration uncontrolled; Small sample; Cross-sectional design
X40645507,Pan Y; Qu H; Zhao Y; Qin Z; Liu J; Wang W,2025,Brain Research Bulletin,10.1016/j.brainresbull.2025.111460,33,Not reported,Not reported,64,8.9,28.1,9.7,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,2,0.75,Not reported,Not reported,ON state,30,62.2,8.1,Cross-sectional,Motor Subtype,Akinetic-rigid,Private,Affiliated Hospital of Yangzhou University,Resting-state,Not applicable,2000,3.1,235,7.833333333,3.5x3.5x3.5,3,Not reported,No,No,No,No,No,No,Not reported,Not reported,Not reported,Not reported,Not reported,Compliance reported: <2mm translation; <2 deg rotation,Not reported,FWHM = 6,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,NETWORKS,8,23,Attention Network (ATT); Auditory Network (AUD); Cerebellum (CB); Central Executive Network (CEN); Default Mode Network (DMN); Salience Network (SAL); Sensorimotor Network (SMN); Visual Network (VIS),ICA,Sliding window,30,2,K-mean,4,Elbow,Dwell time; Fraction time; Number of transitions,Global efficiency; Local efficiency; Small-worldness,Upon request,Not reported ,State 3 (Integrated; HC only); State 1 (Segregated; most frequent); States 2 and 4 (Intermediate),The integrated state was only found in HCs; and spending less time in a more integrated state was related to better motor performance.,Dwell time in the segregated state is higher in PD than HCs; and spending more time in this state is related to worse motor performance.,Mixed/Contradictory Findings,A higher number of transitions is related to better performance.,More transitions associated with better outcomes,dFC state properties differ across PD motor subtypes (Tremor-dominant vs. Akinetic-rigid) and correlate with motor-deficit severity.,ON state only; Disease duration uncontrolled; Small sample; Cross-sectional design
X25252272,Liu A; Chen X; McKeown MJ; Wang ZJ,2015,IEEE Transactions on Bio-Medical Engineering,10.1109/TBME.2014.2359211,12,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported ,10,Not reported,Not reported,Cross-sectional,General PD Characteristics,General PD vs HC,Private,University of British Columbia (UBC),Resting-state,Not applicable,1985,37,Not reported,4,1.9×1.9×3,3,Not reported,No,No,No,No,No,No,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,WHOLE BRAIN,Not applicable,48,Not applicable,Freesurfer,Sticky Weighted Time Varying Model,32,Not applicable,Sticky Weighted Time Varying Model,2,Not applicable,Averaged time periods; Network variation; Number of transitions,Not reported,Not reported ,Not reported ,Binary states: Zero-connectivity state; Non-zero connectivity state,Not Applicable,PD has higher time duration in zero-connectivity states.,Integration associated with better outcomes / Segregation with worse,PD has a lower number of switching events (transitions) compared to HCs.,More transitions associated with better outcomes,PD is associated with reduced network variability over time; which may be a potential biomarker reflecting impaired cognitive flexibility.,Methodological: parameter count estimation required
X.WOS.000459153700001,Zhu; Hong; Huang; Juan; Deng; Lifu; He; Naying; Cheng; Lin; Shu; Pin; Yan; Fuhua; Tong; Shanbao; Sun; Junfeng; Ling; Huawei,2019,Frontiers in Neuroscience,10.3389/fnins.2019.00080,42,Not reported,Not reported,61.14,7.13,15.5,6.36,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1.33,0.45,Not reported,Not reported,Not reported,Not reported,ON state,40,62.68,5.73,Cross-sectional,General PD Characteristics,General PD vs HC,Private,Ruijin Hospital; Shanghai Jiao Tong University,Resting-state,Not applicable,2000,30,210,7,3.75x3.75x4,3,24p,Yes,No,No,No,No,No,Not reported,Not reported,2,2,Not reported,Not reported,Not reported,FWHM = 6,Band-pass,0.01,0.1,Not reported,Not reported,Not reported,NETWORKS,13,264,Auditory Network (AUD); Cerebellum (CB); Cingulo-opercular Network (CON); Default Mode Network (DMN); Dorsal Attention Network (DAN); Fronto-parietal Network (FPN); Memory Network (MEM); Salience Network (SAL); Sensorimotor Network (SMN); Subcortical (SC); Uncertain; Ventral Attention Network (VAN); Visual Network (VIS),Shen; AAL,Sliding window,40,40,Not applicable,Not applicable,Not applicable,Temporal variability,Network variability,Upon request,Not reported ,Not applicable (Method measures temporal variability; not states),Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,The temporal variability of functional connectivity profiles can detect aberrant dynamics that are associated with clinical deficits in PD.,PD heterogeneity
X40543818,Zhi Y; Chen K; You Y; Ji Y; Cheng W; Ji W; Shi G; Fang X; Wang F; Chen K; Zhang L,2025,Neurobiology of Disease,10.1016/j.nbd.2025.107008,30,Not reported,Not reported,64,9.32,Not reported,Not reported,Not reported,Not reported,22,9.8,Not reported,Not reported,2.13,0.79,Not reported,Not reported,Not reported,Not reported,OFF state,37,60.86,7.23,Cross-sectional,Clinical Phenotype,Apathy,Private,Affiliated Wuxi Peoples Hospital of Nanjing Medical University,Resting-state,Not applicable,1500,31,300,7.5,2.4x2.4x2.4,3,6p,No,No,No,Yes,Yes,No,Not reported,Not reported,2.5,2.5,Not reported,Not reported,Not reported,FWHM = 6,Low-pass,Not reported,0.1,Not reported,Not reported,Not reported,NETWORKS,7,15,Attention Network (ATT); Auditory Network (AUD); Central Executive Network (CEN); Cerebellum (CB); Default Mode Network (DMN); Sensorimotor Network (SMN); Visual Network (VIS),ICA,Sliding window,45,1.5,K-mean,4,Elbow,Dwell time; Fraction time; Number of transitions,Not reported,Upon request,Not reported ,State 2 (Integrated; least frequent); State 1 (Segregated; most frequent); States 3 and 4 (Intermediate),Not Applicable,PD with pure apathy (PA) stay longer in a segregated state; which is related to higher apathy scores.,Integration associated with better outcomes / Segregation with worse,Not Applicable,Not Applicable,Apathy in PD is linked to prolonged residence in low-connectivity (segregated) states and disconnection within the DMN.,Data-driven approach; Basal ganglia not identified; Small sample; Cross-sectional design
X40543818,Zhi Y; Chen K; You Y; Ji Y; Cheng W; Ji W; Shi G; Fang X; Wang F; Chen K; Zhang L,2025,Neurobiology of Disease,10.1016/j.nbd.2025.107008,37,Not reported,Not reported,63.57,8.28,Not reported,Not reported,Not reported,Not reported,22.51,12.3,Not reported,Not reported,1.92,0.67,Not reported,Not reported,Not reported,Not reported,OFF state,37,60.86,7.23,Cross-sectional,Clinical Phenotype,Apathy,Private,Affiliated Wuxi Peoples Hospital of Nanjing Medical University,Resting-state,Not applicable,1500,31,300,7.5,2.4x2.4x2.4,3,6p,No,No,No,Yes,Yes,No,Not reported,Not reported,2.5,2.5,Not reported,Not reported,Not reported,FWHM = 6,Low-pass,Not reported,0.1,Not reported,Not reported,Not reported,NETWORKS,7,15,Attention Network (ATT); Auditory Network (AUD); Central Executive Network (CEN); Cerebellum (CB); Default Mode Network (DMN); Sensorimotor Network (SMN); Visual Network (VIS),ICA,Sliding window,45,1.5,K-mean,4,Elbow,Dwell time; Fraction time; Number of transitions,Not reported,Upon request,Not reported ,State 2 (Integrated; least frequent); State 1 (Segregated; most frequent); States 3 and 4 (Intermediate),Not Applicable,PD with pure apathy (PA) stay longer in a segregated state; which is related to higher apathy scores.,Integration associated with better outcomes / Segregation with worse,Not Applicable,Not Applicable,Apathy in PD is linked to prolonged residence in low-connectivity (segregated) states and disconnection within the DMN.,Data-driven approach; Basal ganglia not identified; Small sample; Cross-sectional design
X33383608,Boon LI; Hepp DH; Douw L; van Geenen N; Broeders TAA; Geurts JJG; Berendse HW; Schoonheim MM,2020,NeuroImage: Clinical,10.1016/j.nicl.2020.102468,50,50,77,65.5,6.27,26.1,8.64,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,ON state,13,64.4,8.65,Longitudinal,Disease Progression,Multi-year follow-up,Private,Amsterdam UMC,Resting-state,Not applicable,1800,35,202,6.06,1x0.9x0.9,3,Not reported,No,No,Yes,No,No,No,Not reported,Not reported,Not reported,Not reported,Not reported,Qualitative review,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,NETWORKS,7,196,Default Mode Network (DMN); Dorsal Attention Network (DAN); Fronto-parietal Network (FPN); Sensorimotor Network (SMN); Subcortical (SC); Ventral Attention Network (VAN); Visual Network (VIS),Brainnetome,Sliding window,48.6,10,Not applicable,Not applicable,Not applicable,Not applicable,Network strength,Not reported ,Not reported ,Not applicable,No significant dFC state findings reported. The study focused on evaluating static FC connections with dynamic measures.,No significant dFC state findings reported. The study focused on evaluating static FC connections with dynamic measures.,Not Applicable,Not Applicable,Not Applicable,Executive dysfunction in PD is associated with disrupted communication between subcortical; frontoparietal; and attention networks.,Incomplete follow-up; ON state only; Longitudinal analysis reused cross-sectional findings; Small sample; Unclear biological meaning of dFC
X33383608,Boon LI; Hepp DH; Douw L; van Geenen N; Broeders TAA; Geurts JJG; Berendse HW; Schoonheim MM,2020,NeuroImage: Clinical,10.1016/j.nicl.2020.102468,31,54,77,66.2,5.62,Not measured,Not measured,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,ON state,13,64.4,8.65,Longitudinal,Disease Progression,Multi-year follow-up,Private,Amsterdam UMC,Resting-state,Not applicable,1800,35,202,6.06,1x0.9x0.9,3,Not reported,No,No,Yes,No,No,No,Not reported,Not reported,Not reported,Not reported,Not reported,Qualitative review,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,NETWORKS,7,196,Default Mode Network (DMN); Dorsal Attention Network (DAN); Fronto-parietal Network (FPN); Sensorimotor Network (SMN); Subcortical (SC); Ventral Attention Network (VAN); Visual Network (VIS),Brainnetome,Sliding window,48.6,10,Not applicable,Not applicable,Not applicable,Not applicable,Network strength,Not reported ,Not reported ,Not applicable,No significant dFC state findings reported. The study focused on evaluating static FC connections with dynamic measures.,No significant dFC state findings reported. The study focused on evaluating static FC connections with dynamic measures.,Not Applicable,Not Applicable,Not Applicable,Executive dysfunction in PD is associated with disrupted communication between subcortical; frontoparietal; and attention networks.,Incomplete follow-up; ON state only; Longitudinal analysis reused cross-sectional findings; Small sample; Unclear biological meaning of dFC
X34721266,Wang S; Cai H; Cao Z; Li C; Wu T; Xu F; Qian Y; Chen X; Yu Y,2021,Frontiers in Neurology,10.3389/fneur.2021.735999,25,Not reported,Not reported,65.32,8.385,Not reported,Not reported,Not reported,Not reported,33.32,15.247,Not reported,Not reported,2.6,0.791,Not reported,Not reported,Not reported,Not reported,OFF state,25,63.88,8.212,Cross-sectional,Clinical Phenotype,Freezing of Gait,Private,The First Affiliated Hospital of Anhui Medical University,Resting-state,Not applicable,2000,30,185,6.166666667,3.4x3.4x3.4,3,24p,Yes,No,No,Yes,No,No,Not reported,Not reported,3,3,Not reported,First 10 volumes removed,Not reported,FWHM = 6,Band-pass,0.01,0.1,Not reported,Not reported,Not reported,AREAS,14,30,Thalamic nuclei: AV; IL; LGN; LP; MD-mc; MD-pc; MGN; PuA; Pulv-Inf; Pulv-Lat; Pulv-Med; VA; VL; VPL,AAL,Not reported ,60,2,Not applicable,Not applicable,Not applicable,Not applicable,Not reported,Upon request,Not reported ,Not applicable,The study reports on areas with different dFC (fluctuations) between groups but does not define integrated/segregated states.,The study reports on areas with different dFC (fluctuations) between groups but does not define integrated/segregated states.,Neutral/Descriptive Finding,Not Applicable,Not Applicable,Freezing of Gait (FOG) in PD is linked to disrupted dFC and larger temporal fluctuations between thalamic nuclei and associative cortices.,No causal inference; Small sample; FOG severity not assessed via questionnaire
X34721266,Wang S; Cai H; Cao Z; Li C; Wu T; Xu F; Qian Y; Chen X; Yu Y,2021,Frontiers in Neurology,10.3389/fneur.2021.735999,25,Not reported,Not reported,65.24,6.796,Not reported,Not reported,Not reported,Not reported,32.96,10.964,Not reported,Not reported,2.46,0.721,Not reported,Not reported,Not reported,Not reported,OFF state,25,63.88,8.212,Cross-sectional,Clinical Phenotype,Freezing of Gait,Private,The First Affiliated Hospital of Anhui Medical University,Resting-state,Not applicable,2000,30,185,6.166666667,3.4x3.4x3.4,3,24p,Yes,No,No,Yes,No,No,Not reported,Not reported,3,3,Not reported,First 10 volumes removed,Not reported,FWHM = 6,Band-pass,0.01,0.1,Not reported,Not reported,Not reported,AREAS,14,30,Thalamic nuclei: AV; IL; LGN; LP; MD-mc; MD-pc; MGN; PuA; Pulv-Inf; Pulv-Lat; Pulv-Med; VA; VL; VPL,AAL,Not reported ,60,2,Not applicable,Not applicable,Not applicable,Not applicable,Not reported,Upon request,Not reported ,Not applicable,The study reports on areas with different dFC (fluctuations) between groups but does not define integrated/segregated states.,The study reports on areas with different dFC (fluctuations) between groups but does not define integrated/segregated states.,Neutral/Descriptive Finding,Not Applicable,Not Applicable,Freezing of Gait (FOG) in PD is linked to disrupted dFC and larger temporal fluctuations between thalamic nuclei and associative cortices.,No causal inference; Small sample; FOG severity not assessed via questionnaire
X40069154,Lee B; Young CB; Cai W; Yuan R; Ryman S; Kim J; Yang L; Henderson VW; Poston KL; Menon V,2025,Nature Communications,10.1038/s41467-025-56660-w,27,Not reported,Not reported,70,6,23.78,11.58,Not reported,Not reported,36.37,12.47,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,OFF and ON state,37,71,5,Longitudinal,General PD Characteristics,General PD vs HC,Private,Stanford University School of Medicine,Task-based,Modified Sternberg working memory task,490,30,790,6.451666667,2.97x2.97x3,3,6p,No,No,No,Yes,No,No,Not reported,Not reported,3,Not reported,Not reported,Excluded if mean motion >1.5 SD above IQR; excluded if failed to complete all runs,Not reported,FWHM = 3,High-pass,0.008,Not reported,Not reported,Not reported,Not reported,AREAS,11,15,Anterior Insula (AI-L/R); Caudate (L/R); Dorsolateral Prefrontal Cortex (DLPFC-L/R); Dorsomedial Prefrontal Cortex (DMPFC-Bilateral); Posterior Parietal Cortex (PPC-L/R); Thalamus (L/R),Brainnetome,Bayesian switching dynamical system mode,Not applicable,Not applicable,Bayesian switching dynamical system mode,5,Bayesian switching dynamical system mode,Dwell time; Number of transitions,Not reported,https://doi.org/10.5281/zenodo.14567445,https://doi.org/10.5281/zenodo.14567445,Task-based states (BSDS model): State 1 (Encoding); State 4 (Maintenance/Retrieval); States 2 and 3 (Intermediary),This study uses a task-based paradigm and interprets states based on cognitive processes (e.g.; encoding; retrieval); not integration/segregation.,This study uses a task-based paradigm and interprets states based on cognitive processes (e.g.; encoding; retrieval); not integration/segregation.,Not Applicable,The study investigates transitions between task-related states.,Neutral/Descriptive Finding,Dopamine-induced changes in brain-state dynamics track individual performance gains; showing an inverted-U-shaped dose-response relationship.,Bayesian model with ARD priors; No biophysically realistic validation model; Inter-individual dopamine absorption variability; Optimal dopamine for working memory may differ
X25014419,Madhyastha TM; Askren MK; Boord P; Grabowski TJ,2015,Brain Connectivity,10.1089/brain.2014.0248,25,Not reported,Not reported,66.04,10.05,23.56,8.71,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,2.04,Not reported,Not reported,Not reported,1,2.5,ON state,21,61.9,10,Cross-sectional,General PD Characteristics,General PD vs HC,Private,University of Washington,Hybrid,Resting-state and Attention Network Test,2400,25,300,12,3x3x3,3,6p,Yes,No,No,No,Yes,No,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Restign data: FWHM = 3; task data: FWHM = 4,High-pass,Not reported,Not reported,Not reported,Not reported,Not reported,NETWORKS,3,20,Default Mode Network (DMN); Dorsal Attention Network (DAN); Fronto-parietal Network (FPN),Power,Sliding window,40.8,2.4,Factor analysis,4,Varimax,Not applicable,Not reported,Not reported ,Not reported ,Factor-based description: Identifies factors of covarying connections (not discrete states),Not a study about dFC states; it uses factor analysis to describe covarying connections.,Not a study about dFC states; it uses factor analysis to describe covarying connections.,Not Applicable,Change in factor scores between sessions correlated with accuracy improvements.,Not Applicable,Time-varying correlation patterns within intrinsic networks are stable and functionally relevant for predicting task performance.,Small sample; no correction for multiple comparisons; heterogeneity of PD; issues interpreting change scores;
X30175232,Cordes D; Zhuang X; Kaleem M; Sreenivasan K; Yang Z; Mishra V; Banks SJ; Bluett B; Cummings JL,2018,Alzheimer's and Dementia,10.1016/j.trci.2018.04.009,18,Not reported,Not reported,57.11,11.63,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,OFF state,18,64.25,9.78,Cross-sectional,General PD Characteristics,Early Stage PD (unmedicated),Public ,PPMI,Resting-state,Not applicable,2400,25,210,8.4,3.3x3.3x3.3,3,6p,No,No,No,No,No,No,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,FWHM = 8,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,NETWORKS,8,72,Auditory Network (AUD); Central Executive Network (CEN); Cerebellum (CB); Default Mode Network (DMN); Medial Temporal Network (MTN); Sensorimotor Network (SMN); Subcortical (SC); Visual Network (VIS),ICA,Sliding window,Time-dependent window size,Not applicable,K-mean,3,Leave one out cross validation,Dwell time; Number of transitions,Not reported,https://www.ppmi-info.org/,Not reported ,State 2 (Integrated); States 1 and 3 (Segregated),HCs spend more time in integrated states compared to PD.,PD spend more time in segregated states compared to HCs.,Integration associated with better outcomes / Segregation with worse,HCs have a higher number of transitions between states.,More transitions associated with better outcomes,Altered temporal behavior and reduced whole-brain dynamic range are present even in early-stage PD.,Not reported
X.WOS.000430364100007,Zhuang; Xiaowei; Walsh; Ryan R.; Sreenivasan; Karthik; Yang; Zhengshi; Mishra; Virendra; Cordes; Dietmar,2018,NeuroImage,10.1016/j.neuroimage.2018.01.019,20,Not reported,Not reported,58.03,11.54,Not reported,Not reported,Not reported,Not reported,15.05,7.43,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,OFF state,18,64.25,9.5,Cross-sectional,General PD Characteristics,Early Stage PD (unmedicated),Public ,PPMI,Resting-state,Not applicable,2400,25,210,8.4,3.3x3.3x3.4,3,6p,Yes,No,No,No,No,No,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,FWHM = 8,Band-pass,0.008,0.1,Not reported,Not reported,Not reported,NETWORKS,7,20,Central Executive Network (CEN); Default Mode Network (DMN); Fronto-parietal Network (FPN); Medial Temporal Network (MTN); Sensorimotor Network (SMN); Striatum (STR); Subthalamic Nucleus (STN),ICA,Dominant-co-activation pattern,Not applicable,Not applicable,K-mean,2,Dominant-co-activation pattern,Fraction time; Number of transitions,Not reported,https://www.ppmi-info.org/,Not reported ,Not applicable (d-CAPs method identifies co-activation patterns),Not Applicable,Not Applicable,Not Applicable,PD show lower switching probability (fewer transitions) compared to HCs. Higher switching is related to better motor scores.,More transitions associated with better outcomes,Resting-state fMRI can capture early-stage changes in network dynamics in PD.,Linear k-means used; Interdependence of d-CAP measures
X18722512,Palmer SJ; Eigenraam L; Hoque T; McCaig RG; Troiano A; McKeown MJ,2009,Neuroscience,10.1016/j.neuroscience.2008.06.053,8,Not reported,Not reported,64,8,Not reported,Not reported,Not reported,Not reported,28,9,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,1,3,OFF and ON state,10,58,11,Longitudinal,Intervention Response,Levodopa Medication,Private,University of British Columbia,Task-based,Right-hand squeeze bulb motor modulation task,2000,37,150,5,Not reported ,3,Not reported,No,No,No,No,No,No,Not reported,Not reported,Not reported,Not reported,Not reported,Two PD subjects excluded due to scanner/stimulus technical problems,Not reported,Not reported,Band-pass,0.025,0.2,Not reported,Not reported,Not reported,AREAS,18,9,Anterior Cingulate Cortex (ACC-Bilateral); Caudate-Bilateral; Cerebellum-Bilateral; Globus Pallidus-Bilateral; Prefrontal Cortex (PFC-Bilateral); Primary Motor Cortex (M1-Bilateral); Putamen-Bilateral; Supplementary Motor Area (SMA-Bilateral); Thalamus-Bilateral,Talairach and Tournoux,Structural Equation Modeling and Multivariate Auto Regressive,Not applicable,Not applicable,Structural Equation Modeling and Multivariate Auto Regressive,Not applicable,Not applicable,Not reported,Not reported,Not reported ,Not reported ,Not applicable (Method measures effective connectivity),Not applicable; the study focuses on effective connectivity using SEM and MAR; not dFC states.,Not applicable; the study focuses on effective connectivity using SEM and MAR; not dFC states.,Not Applicable,Not Applicable,Not Applicable,Levodopa helps normalize the disruption of effective communication between widespread brain areas that underlies difficulty with simultaneous movements.,No subject-level connectivity estimation due to insufficient statistical power.
Li2023.1,Li; Zhibao; Chen; Wei; Zeng; Xiaoyu; Ni; Jun; Guo; Yuzhu; Zhang; Hua; Li; Yang; Ma; Yina; Meng; Fangang,2023,The Innovative Medicine,10.59717/j.xinn-med.2023.100027,45,Not reported,Not reported,58.7,10.3,18.9,9.2,Not reported,Not reported,25.3,11.1,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,Not reported,ON state,Not reported ,Not reported,Not reported,Longitudinal,Disease Progression,1-4 years follow-up,Public ,PPMI,Resting-state,Not applicable,2400,25,210,8.4,Not reported ,3,24p,Yes,No,No,Yes,No,No,0.2,Not reported,Not reported,Not reported,27 patients excluded due to excessive head motion,Not reported,Not reported,FWHM = 6,Band-pass,0.01,0.1,Not reported,Not reported,Not reported,NETWORKS,8,216,Default Mode Network (DMN); Dorsal Attention Network (DAN); Fronto-parietal Network (FPN); Limbic Network (LIM); Sensorimotor Network (SMN); Subcortical (SC); Ventral Attention Network (VAN); Visual Network (VIS),Schaefer200 cortical; Tian subcortical,Sliding window,44,2.4,K-mean,2,Calinski-Harabasz index; Davies-Bouldin index; Silhouette,Dwell time; Fraction time; Number of transitions,Not reported,https://www.ppmi-info.org/,Not reported ,State 2 (Integrated; less frequent); State 1 (Segregated; more frequent),Not Applicable,Shorter dwell time in the segregated state is related to PD advancement and worse motor performance.,Integration associated with worse outcomes / Segregation with better,Not Applicable,Not Applicable,The mean dwell time (MDT) in the sparse-FC (segregated) state decreases with disease progression and tracks motor and cognitive decline; supporting dFC as a progression biomarker.,No healthy controls; ON state only; Small sample; PD heterogeneity not considered
